,album,review
0,Reissue of the Week: HEX Poison In The System: The Demos LP,"

Reissue of the Week: HEX Poison In The System: The Demos LP


Published  November 13, 2015 By MRR


Categories

Reviews 


HEX – “Poison In The System: The Demos” CD
If you liked your punk, the UK in the early to mid ’80s was a good place to be. Not only were all kinds of genres flourishing within said rubric, but there was a significant community of like-minded souls, putting on gigs, writing (and distributing) fanzines, (cassette) tape labels, and whatnot. It meant that bands could (and did!) release demos, on cassette, and distribute them far and wide. The anarcho-punk “scene,” spawned by the likes of CRASS and their progeny (SUBHUMANS, CONFLICT, FLUX OF PINK INDIANS, MOB, et al.) were the inspiration and incubator for HEX. Hailing from the Northeast of England, they were part and parcel of the legendary (well, to us folks, anyways) Sunderland Bunker, a venue, and musicians collective. Herein you’ll find four demos tapes (fourteen tracks in all), recorded in 1986 and 1987. A variety of musical styles, evocative of KILLING JOKE, ANTISECT, and the FAMOUS IMPOSTERS grace the demos. It all features the music gifts of Dickie Hammond and Dave Lainey, better known for playing in HDQ and later LEATHERFACE. Really great stuff all round, and some excellent liner notes do a superb job of capturing the sense of community, and possibility that was nurtured by the scene. (Ramsey Kanaan)
(Boss Tuneage)"
1,Record of the Week: G.L.O.S.S. Girls Living Outside Society’s Shit EP,"

Record of the Week: G.L.O.S.S. Girls Living Outside Society’s Shit EP


Published  November 13, 2015 By MRR


Categories

Reviews 


G.L.O.S.S. – “Girls Living Outside Society’s Shit” EP
This exists perfectly as a solid hardcore record, nothing necessarily freaky or weird just excellently solid but a thing that makes it stand out (other than the context it exists in) is that you can hear all of the lyrics. No reading along with lyric sheets necessary—somehow, at breakneck speed Sadie manages to enunciate every word. A thing that is always rough to me about hardcore is all the vocals garbled and barked until I kind of just feel like some angry man is yelling at me. And what Sadie is singing about is so integral and important it’s just really fucking cool to just hear every lyric. This record delves into politics in a way that avoids being exclusionary or preachy but instead is filled with rage and love and an overall we’re-in-this-togetherness. It also comes with an excellent zine that furthers the aesthetic and message.
(Nervous Nelly / Total Negativity)"
2,Reissue of the Week: The Hunches,"

Reissue of the Week: The Hunches


Published  November 6, 2015 By MRR


Categories

Reviews 


HUNCHES – “You’ll Never Get Away With My Heart / Like I Could Die”
The HUNCHES, if you are unfamiliar, were a Portland punk rock band that’s been dead, dead, dead, for over five years now. They used to do that to their audiences you know, knock ‘em dead. They had this front guy, Chris Gunn, who could make a show feel dangerous in a fulfilling way, like you risked acquiring a truly noble scar encountering a genuinely memorable musical experience. During their existence they were generally categorized as playing “garage punk,” which was how most people used to qualify punk rock that wasn’t a straight carbon copy of 1984 thrash: “garage,” whatever the hell that meant. People are a lot better situated now, it’s come full circle back to a mindset in opposition to hardcore-dogma-adherence, thanks to bands like the HUNCHES getting their retroactive cred. This 7” is their 2001 demo, predating any of their LPs on In The Red. It’s a loud, punishing, art-blues inflected punk rock record with Gunn’s tortured vocals at the front of the mix, and it would sit in your 7” pile of early ’00s-era singles the same way that a FLESHEATERS record parks comfortably with Dangerhouse titles. ’Cause they’re all flying at you from Planet Shit. They may talk different, but they are all talking shit. Buy this or rot in fetid ignorance. (Ryan Wells)
(Almost Ready)


"
3,Record of the Week: La Misma,"

Record of the Week: La Misma


Published  November 6, 2015 By Lydiya


Categories

Reviews 


LA MISMA – “Kanizadi” LP
This is so perfect just go buy it now—just do it! LA MISMA from New York are a force to be reckoned with and, after just one 7” and a few demos, this ferocious full-length hurtles through the punk universe like a blazing comet! I can’t single out one song on this record because the consistency and character—the bite!—is found in every song. Each jam packed with pogo power, this is short and fast, heavy and solid, structured but crumbling under the intensity of the execution. A commendable homage to the CRISIS guitar sound, fueled by UK82 punk power and laced with the venom of ’80s Italian punk, but never limited or overshadowed by those influences. The guitar mixes creeping hooks and solos with frontal-attack riffs. The hypnotic bass booms and rumbles with the power of a coming earthquake. The stomping, cymbal-crashing drums are crude and commandeering like a primeval instinct. The vocalist spits, squeals and yelps, all passionate Portuguese delivery and transfixing impressionistic lyrical content. The result is spine-chilling, catchy and driving all at the same time. The production works around the core sound like a Rubik’s cube doing every element justice—the twisting guitar distortion, the bristle and weight of the bass, the dissonance in the vocals, the pitch and punch in the drums. 18 minutes and 53 seconds of white-knuckled, jaw-clenching, hair-raising energy that has my mind and body positively ecstatic. Comes with a 28-page booklet and A2 poster designed by the vocalist. For fans of: good fucking music! Exceptional! (Lydia A)
(Toxic State / La Vida Es Un Mus)
Kanizadi LP by La Misma

"
4,Reissue of the Week: EBENEZER AND THE BLUDGEONS  Peer Pressure LP,"

Reissue of the Week: EBENEZER AND THE BLUDGEONS  Peer Pressure LP


Published  October 29, 2015 By MRR


Categories

Reviews 


EBENEZER AND THE BLUDGEONS – “Peer Pressure” EP
Looky what I win this month! No one coulda guessed these OG Baltimore KBD punkers were such the lyrical geniuses, but there’s no doubt after any spin of this classique 1978 four-songer. I still remember first dropping the needle after coughing up some substantial lunch money in the ’90s. Side A doesn’t really do much bludgeoning, ’cept with the inescapable “al-bi-no” chorus of “Gerti,” but the B-side is the absolute apex of bar band punk. Ooh, the controversy of “Weekend Nazi,” only to be topped with the inexplicable punk paradox of “Oh! I Love This Weather” with one of the least climactic punk choruses ever. How can something that sucks so hard manage to also be the greatest thing ever?! I’m proud to be an American. (Graham Booth)
(Windian)


"
5,Reissue of the Week: EUTANASIA Sentimiento de Agitación LP,"

Reissue of the Week: EUTANASIA Sentimiento de Agitación LP


Published  October 22, 2015 By MRR


Categories

Reviews 


EUTANASIA – “Sentimiento de Agitación” LP 
Here is the first vinyl rendition of a classic Peruvian punk tape recorded in 1990. Somewhere at the intersection of the RAMONES and RIP, EUTANASIA distills punk into its raw rock material essentials: catchy, pogo-friendly, yet serious and angry punk. Their commitment to carrying the torch of local underground rock is demonstrated by the covers of both LOS SAICOS “Demolición” and LEUSEMIA. Informative insert made for English speakers outlines the challenges of playing underground music during turbulent times. While your country is busy waging a bloody war between Maoists and a brutal state, one option is to go on creating something amidst the wreckage. This record is that plebian answer to the senseless violence. Forming in 1986, those members who stuck it out in Lima recorded this record in 1990, and then they too fled the country. Crucial recording for Peruvian punk history and a must have for anyone even remotely interested in Latin American punk. (Lena T)
(Rock SVB)


"
6,Reissue of the Week: Bikini KIll Revolution Girl Style Now LP,"

Reissue of the Week: Bikini KIll Revolution Girl Style Now LP


Published  October 15, 2015 By Layla


Categories

Reviews 


BIKINI KILL – “Revolution Girl Style Now” LP
BIKINI KILL was my gateway band into DIY punk. I got into them when the first 12” came out, and then the year after they toured the UK with HUGGY BEAR, which was a life-changing experience for fourteen-year-old me. The fact that I have never heard these recordings at all is sort of funny to me now—I was such a maniac fan as a teen and I don’t get why I didn’t try and track this tape down! It’s so fucking incredible! This beautifully done reissue has the songs from their infamous demo and you can clearly see why this recording enabled BIKINI KILL to tour extensively without a record, exactly how they got so much notice/press in the pre-internet age. It’s simply incendiary. Like the Situationist and S.C.U.M. manifestos cut up with added teen girl diary fire. The music sounds eternal yet fresh, referencing early CA punk sounds—the AVENGERS, SIN 34, BLACK FLAG with added X-RAY SPEX. There are a million bands that pay homage to such possibilities and don’t get close to what this band achieve. I mean, it seems almost pointless to write about BIKINI KILL sounds. They are pretty much the MINOR THREAT of the ’90s, a band that transcended genre and had a global reach because of the true and total power and strength of their sound and message. They were a band that made girls and queers want to create their own version of the punk rock ideal, reaching lonely kids in isolated communities that maybe didn’t know about DIY punk. They were charismatic and cool, and listening to this it’s obvious why they were the catalyst for a new feminist punk reality. Kathleen’s voice sounds absolutely incredible, a totally incandescent force of power and fire. This may be the best recording of it I have heard, one that fully demonstrates how this band burned through the world and took over hearts and minds…It just sounds so good! There are two songs that made it onto vinyl back then as compilation tracks (on Give Me Back and one of the Yo Yo comps—and maybe a KRS comp too?!), plus demo versions of some classic songs from the split LP and the first 12” and three insane unreleased songs, which either didn’t fit on the demo tape, or were rejected for sounding unlike the other songs, depending on what you read. It’s really cool listening to these songs in light of what BIKINI KILL became. They very much situate the band’s sound in the context of the Pacific Northwest, providing an idea of them potentially being an almost FLIPPER-esque grunge group! The group love for BABES IN TOYLAND guitar tricks is real…At any rate it’s clear this LP is a must have for all punks, so grab one and then start your own feminist punk action force. This record is an instruction sheet not a rulebook! Make your own. (Layla Gibbon)
(Bikini Kill)
Revolution Girl Style Now by Bikini Kill

"
7,Record of the Week: Aye Nako The Blackest Eye EP,"

Record of the Week: Aye Nako The Blackest Eye EP


Published  October 14, 2015 By Greg


Categories

Reviews 


AYE NAKO – “The Blackest Eye” 12”
Brooklyn’s AYE NAKO are back with their first release since their 2013 debut LP Unleash Yourself. I know that the band wanted to change their sound after that LP in an attempt to distance themselves from the “pop punk” label and even went as far as talking about releasing a hardcore EP. (I’d love to hear that since “Good Grief” from their demo is still one of my favorite songs of theirs). Instead of hardcore, they went in a completely different direction and delivered a lush, dense, guitar heavy, indie-shitstorm (that’s good) that recalls some of the melodic sensibilities of the best SUPERCHUNK stuff and the guitar noodle-ry (that’s a word) of TED LEO. I don’t use these band names to imply that they’re using these well-worn roadways as a blueprint. I use them as a signifier that AYE NAKO knows their history, they know what the fuck they’re doing and they build on those who have come before them to create their own new beast that is theirs to tame (or not tame) as they see fit. The whole presentation feels like a step up from the band’s previous record, which was no slouch but had moments that felt rushed or not quite fully-realized. There’s no wasted space here. The lyrics dig deep into thoughts on sexual abuse, race, the quagmire of eternal self-doubt, the fucking total-realness of never-ending white supremacy and the insidious ways that it continues to sustain itself. In a music scene that cannot stop focusing on white skin and cis-gender bodies, this record is unapologetically queer, defiant and brown. Plus, it has a lot of sweet hooks. All of these things are important. All of these things are good. I can’t wait to hear what they create next. (Greg Harvester)
(Don Giovanni)


"
8,Reissue of the Week: MERCENÁRIAS Demo 1983 LP,"

Reissue of the Week: MERCENÁRIAS Demo 1983 LP


Published  October 8, 2015 By MRR


Categories

Reviews 


MERCENÁRIAS – “Demo 1983” EP
There is probably no band like MERCENÁRIAS. This 3/4 femme Brazilian band, better known for their late ’80s post-punk repertoire, made an extraordinary first recording that seems out of time and place. Totally weird, awesome, and fierce: peculiar gruff vocals that predate grindcore layered over angular choppy rhythms making it sound like someone took a chainsaw to the rock song and assembled the hacked up pieces back together with lots of sharp edges sticking out all over the place. They were definitely ahead of their time with irreverent and unapologetic lyrics taking a shit all over patriarchy and scandalizing audiences (the song “Honra” never made it onto their recordings until now). The story in the booklet of sending a talent scout running after hearing one of their songs reminds me of the philosophy of Spain’s VULPESS, active around the same time, who got a TV program shut down in Spain for performing a song called “I Like Being a Slut.” Nice packaging with a semi-bilingual booklet in English and Portuguese containing old flyers, pictures, and lyrics. This is an important piece of Brazilian punk history and crucial international punk artifact with a renewed relevance in 2015. (Lena T)
(Dama da Noite / Nada Nada)
 

"
9,Record of the Week: DAN MELCHIOR’S BROKE REVIEW Lords Of The Manor EP,"

Record of the Week: DAN MELCHIOR’S BROKE REVIEW Lords Of The Manor EP


Published  October 7, 2015 By Allan McNaughton


Categories

Reviews 


DAN MELCHIOR’S BROKE REVIEW – “Lords Of The Manor” LP
The welcome return of DAN MELCHIOR’S BROKE REVUE after a ten-year hiatus (although Melchior himself has been anything but idle, cranking out scores of releases in the meantime). This new one reflects a slight change in tone since Dan relocated permanently to the USA. Musically loose and sprawling (only seven tracks spread out over the two sides of this album), vocally deadpan and sardonic. Instrumentation and arrangements are still pretty bare-bones: the rhythm section and keyboards lock into a repetitive groove while the guitar skitters, wails, and scratches over the top. If they discovered Neolithic standing stones on the outskirts of the Medway towns this HAWKWIND meets HEADCOATS sound would be perfect for the first solstice party. (Allen McNaughton)
(In The Red)

"
